ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,X,Y,VICTIMA,ACUSADO
2021-0086,1,2021-11-25,2021,11,25,10:10:00,10.0,RIVADAVIA AV. Y PUAN,AVENIDA,6,-58.44864864,-34.62352826,PEATON,PASAJEROS
2021-0087,1,2021-11-27,2021,11,27,11:22:00,11.0,ESMERALDA 1359,CALLE,1,-58.37795815,-34.59167894,PEATON,BICICLETA
2021-0088,1,2021-12-01,2021,12,1,15:40:00,15.0,AV. MOROE Y 3 DE FEBRERO,CALLE,13,-58.45531707,-34.55555257,MOTO,AUTO
2021-0089,1,2021-12-02,2021,12,2,01:10:00,1.0,AV. GAONA 3655,AVENIDA,11,-58.47633683,-34.62140594,MOTO,AUTO
2021-0090,1,2021-12-10,2021,12,10,11:45:00,11.0,AV. 9 DE JULIO Y LAVALLE,AVENIDA,1,-58.38188582,-34.60256036,PEATON,PASAJEROS
2021-0091,1,2021-12-11,2021,12,11,23:00:00,23.0,BAIGORRIA Y VICTOR HUGO,CALLE,10,-58.51989389,-34.62284918,MOTO,AUTO
2021-0092,1,2021-12-12,2021,12,12,06:20:00,6.0,AV. RIVADAVIA Y AV. PUEYRREDON,AVENIDA,3,-58.4059686,-34.61011987,PEATON,AUTO
2021-0093,1,2021-12-13,2021,12,13,17:10:00,17.0,AV. RIESTRA Y MOM,AVENIDA,7,-58.43353773,-34.64561636,MOTO,AUTO
2021-0094,1,2021-12-20,2021,12,20,01:10:00,1.0,AU DELLEPIANE Y LACARRA,AUTOPISTA,9,-58.46739825,-34.65117757,MOTO,AUTO
2021-0095,1,2021-12-30,2021,12,30,00:43:00,0.0,AV. GAONA Y TERRADA,AVENIDA,11,-58.47293407,-34.61984745,MOTO,CARGAS
2021-0096,1,2021-12-15,2021,12,15,10:30:00,10.0,AV. EVA PERON 4071,AVENIDA,9,-58.47066794,-34.65021673,AUTO,CARGAS
2021-0097,1,2021-11-18,2021,11,18,06:10:00,6.0,PADRE CARLOS MUJICA 709,CALLE,1,-58.37976155,-34.58679619,BICICLETA,AUTO
